Unidade da Federação,1995,1996,1997
Amazonas,-,1,-
Pará,2,3,-
Tocantins,-,1,1
Maranhão,1,1,1
Ceará,1,7,1
Rio Grande do Norte,1,-,-
Paraíba,2,1,2
Pernambuco,-,1,-
Alagoas,6,8,10
Sergipe,-,1,1
Bahia,2,-,-
Minas Gerais,5,4,10
Espírito Santo,10,8,5
Rio de Janeiro,21,72,38
São Paulo,59,43,38
Paraná,1,1,3
Santa Catarina,5,7,5
Rio Grande do Sul,1,3,2
Mato Grosso,3,-,1
Goiás,-,2,1
Distrito Federal,-,-,2
