uf,óbitos
Rondônia,15
Acre,26
Amazonas,133
Roraima,10
Pará,204
Tocantins,20
Maranhão,139
Piauí,37
Ceará,118
Rio Grande do Norte,85
Paraíba,68
Pernambuco,394
Alagoas,63
Sergipe,8
Bahia,413
Minas Gerais,328
Espírito Santo,90
Rio de Janeiro,1189
São Paulo,1612
Paraná,180
Santa Catarina,85
Rio Grande do Sul,274
Mato Grosso do Sul,40
Mato Grosso,31
Goiás,119
Distrito Federal,28
