uf,óbitos
Amazonas,75
Pará,124
Tocantins,23
Maranhão,79
Ceará,143
Rio Grande do Norte,38
Paraíba,64
Pernambuco,323
Alagoas,81
Sergipe,21
Bahia,307
Minas Gerais,506
Espírito Santo,90
Rio de Janeiro,680
São Paulo,1602
Paraná,295
Santa Catarina,197
Rio Grande do Sul,301
Mato Grosso,78
Goiás,193
Distrito Federal,32
